inventory_id,warehouse_id,product_id,quantity,reserved_quantity,last_updated
INV0000001,WH001,PRD00170,68,18,2026-07-16
INV0000002,WH001,PRD00491,52,44,2026-07-18
INV0000003,WH001,PRD00324,703,47,2026-08-01
INV0000004,WH001,PRD00337,49,7,2026-07-08
INV0000005,WH001,PRD00633,525,38,2026-07-24
INV0000006,WH001,PRD00808,150,44,2026-07-19
INV0000007,WH001,PRD00620,782,30,2026-07-31
INV0000008,WH001,PRD00147,766,57,2026-07-04
INV0000009,WH001,PRD00663,320,63,2026-07-21
INV0000010,WH001,PRD00238,888,19,2026-07-07
INV0000011,WH001,PRD00205,383,2,2026-07-27
INV0000012,WH001,PRD00162,232,57,2026-07-22
INV0000013,WH001,PRD00285,1107,72,2026-07-27
INV0000014,WH001,PRD00963,1149,27,2026-07-14
INV0000015,WH001,PRD00776,44,41,2026-07-26
INV0000016,WH001,PRD00343,941,3,2026-07-29
INV0000017,WH001,PRD00654,464,61,2026-07-10
INV0000018,WH001,PRD00421,803,3,2026-07-02
INV0000019,WH001,PRD00554,934,23,2026-08-01
INV0000020,WH001,PRD00645,443,19,2026-07-04
INV0000021,WH001,PRD00710,571,66,2026-07-13
INV0000022,WH001,PRD00260,395,18,2026-07-25
INV0000023,WH001,PRD00682,953,61,2026-07-03
INV0000024,WH001,PRD00732,748,53,2026-07-17
INV0000025,WH001,PRD00576,974,78,2026-07-03
INV0000026,WH001,PRD00598,554,48,2026-07-20
INV0000027,WH001,PRD00535,1116,41,2026-07-26
INV0000028,WH001,PRD00336,381,35,2026-07-29
INV0000029,WH001,PRD00120,601,64,2026-07-23
INV0000030,WH001,PRD00605,319,53,2026-07-12
INV0000031,WH001,PRD00687,1150,77,2026-07-16
INV0000032,WH001,PRD00495,1127,4,2026-07-04
INV0000033,WH001,PRD00195,996,56,2026-07-21
INV0000034,WH001,PRD00248,975,36,2026-07-19
INV0000035,WH001,PRD00221,705,67,2026-07-22
INV0000036,WH001,PRD00595,899,70,2026-07-21
INV0000037,WH001,PRD00851,807,38,2026-07-21
INV0000038,WH001,PRD00656,179,74,2026-07-27
INV0000039,WH001,PRD00311,567,17,2026-07-18
INV0000040,WH001,PRD00099,1162,30,2026-07-24
INV0000041,WH001,PRD00746,790,68,2026-07-11
INV0000042,WH001,PRD00182,260,78,2026-07-11
INV0000043,WH001,PRD00760,1145,46,2026-07-30
INV0000044,WH001,PRD00480,816,44,2026-07-28
INV0000045,WH001,PRD00619,375,66,2026-07-17
INV0000046,WH001,PRD00871,425,41,2026-07-29
INV0000047,WH001,PRD00921,177,70,2026-07-18
INV0000048,WH001,PRD00722,984,67,2026-07-20
INV0000049,WH001,PRD00593,492,33,2026-07-12
INV0000050,WH001,PRD00427,139,35,2026-07-23
INV0000051,WH001,PRD00826,1146,61,2026-07-11
INV0000052,WH001,PRD00845,993,56,2026-07-23
INV0000053,WH001,PRD00972,911,52,2026-07-08
INV0000054,WH001,PRD00702,403,74,2026-07-18
INV0000055,WH001,PRD00139,158,2,2026-07-26
INV0000056,WH001,PRD00754,137,67,2026-07-15
INV0000057,WH001,PRD00855,898,22,2026-07-17
INV0000058,WH001,PRD00947,996,72,2026-07-02
INV0000059,WH001,PRD00350,856,7,2026-07-05
INV0000060,WH001,PRD00467,839,69,2026-07-16
INV0000061,WH001,PRD00621,1068,48,2026-07-18
