order_item_id,order_id,product_id,quantity,unit_price,discount_pct
OI00000001,ORD0001494,PRD00440,4,18330.44,0.05
OI00000002,ORD0013209,PRD00342,3,13530.2,0.15
OI00000003,ORD0044387,PRD00946,1,6855.62,0.0
OI00000004,ORD0021225,PRD00741,8,19472.94,0.05
OI00000005,ORD0018204,PRD00055,8,12610.9,0.0
OI00000006,ORD0031957,PRD00811,7,18767.72,0.0
OI00000007,ORD0001162,PRD00903,7,14858.24,0.1
OI00000008,ORD0029639,PRD00813,2,2308.37,0.1
OI00000009,ORD0045361,PRD00382,4,14587.71,0.15
OI00000010,ORD0041047,PRD00373,2,7232.16,0.1
OI00000011,ORD0047476,PRD00198,6,3207.55,0.0
OI00000012,ORD0047329,PRD00048,3,1496.5,0.0
OI00000013,ORD0002692,PRD00460,4,8414.86,0.0
OI00000014,ORD0016676,PRD00438,8,428.93,0.15
OI00000015,ORD0047988,PRD00720,4,8419.91,0.05
OI00000016,ORD0008733,PRD00643,7,7776.93,0.0
OI00000017,ORD0047001,PRD00652,1,1127.33,0.05
OI00000018,ORD0008029,PRD00625,4,13135.13,0.0
OI00000019,ORD0046241,PRD00290,7,3078.97,0.15
OI00000020,ORD0030949,PRD00765,6,1880.04,0.0
OI00000021,ORD0003791,PRD00804,3,20852.01,0.15
OI00000022,ORD0036252,PRD00381,4,3508.34,0.0
OI00000023,ORD0003443,PRD00699,3,10146.5,0.1
OI00000024,ORD0043077,PRD00272,6,7901.97,0.0
OI00000025,ORD0046975,PRD00553,6,1634.59,0.0
OI00000026,ORD0040931,PRD00943,7,8591.76,0.0
OI00000027,ORD0031108,PRD00586,6,6485.53,0.0
OI00000028,ORD0014186,PRD00726,1,2611.6,0.15
OI00000029,ORD0035000,PRD00916,6,17464.86,0.05
OI00000030,ORD0028143,PRD00368,5,16720.93,0.0
OI00000031,ORD0023562,PRD00095,7,15174.42,0.0
OI00000032,ORD0037763,PRD00189,3,2231.54,0.1
