order_id,customer_id,order_date,order_status
ORD0000001,CUS001685,2025-07-30,Delivered
ORD0000002,CUS001176,2026-05-02,Delivered
ORD0000003,CUS006611,2026-07-24,Delivered
ORD0000004,CUS007741,2025-04-20,Delivered
ORD0000005,CUS009180,2026-07-14,Delivered
ORD0000006,CUS008273,2026-05-15,Shipped
ORD0000007,CUS009660,2025-04-01,Delivered
ORD0000008,CUS007035,2025-05-03,Delivered
ORD0000009,CUS003366,2025-05-23,Delivered
ORD0000010,CUS000935,2026-04-23,Delivered
ORD0000011,CUS001109,2026-05-31,Delivered
ORD0000012,CUS001295,2026-08-12,Delivered
ORD0000013,CUS002898,2025-12-19,Processing
ORD0000014,CUS000801,2025-04-19,Delivered
ORD0000015,CUS007982,2025-01-20,Delivered
ORD0000016,CUS004775,2025-03-13,Shipped
ORD0000017,CUS005383,2025-02-15,Delivered
ORD0000018,CUS009695,2026-03-20,Delivered
ORD0000019,CUS003174,2025-02-09,Shipped
ORD0000020,CUS008879,2026-03-31,Processing
ORD0000021,CUS001037,2026-03-03,Cancelled
ORD0000022,CUS003363,2025-11-06,Delivered
ORD0000023,CUS002323,2026-08-27,Delivered
ORD0000024,CUS002841,2026-04-16,Delivered
ORD0000025,CUS008296,2025-08-11,Delivered
ORD0000026,CUS006940,2025-07-18,Delivered
ORD0000027,CUS001814,2025-05-22,Processing
ORD0000028,CUS001521,2025-10-09,Delivered
ORD0000029,CUS000295,2025-05-30,Delivered
ORD0000030,CUS002571,2026-01-15,Processing
ORD0000031,CUS009634,2025-05-12,Delivered
ORD0000032,CUS006353,2025-06-16,Processing
ORD0000033,CUS001539,2025-05-18,Delivered
ORD0000034,CUS001667,2025-08-26,Delivered
ORD0000035,CUS008181,2025-09-15,Shipped
ORD0000036,CUS002413,2026-03-24,Delivered
ORD0000037,CUS002147,2026-05-28,Delivered
ORD0000038,CUS009028,2026-05-30,Delivered
ORD0000039,CUS009636,2025-01-19,Delivered
ORD0000040,CUS008901,2026-02-05,Delivered
ORD0000041,CUS009665,2025-12-04,Delivered
ORD0000042,CUS005721,2025-03-12,Delivered
ORD0000043,CUS007017,2026-06-01,Delivered
ORD0000044,CUS004619,2025-09-13,Delivered
