product_id,product_name,category_id,supplier_id,cost_price,selling_price,reorder_level,status
PRD00001,Wireless Mouse A001,CAT001,SUP0071,9837.33,11343.71,48,Active
PRD00002,Mechanical Keyboard A002,CAT002,SUP0015,14088.84,16958.97,23,Active
PRD00003,LED Monitor A003,CAT003,SUP0092,4143.44,5767.39,53,Active
PRD00004,USB-C Hub A004,CAT004,SUP0065,10337.46,15414.86,72,Active
PRD00005,Laptop Stand A005,CAT005,SUP0012,13587.62,20224.38,91,Discontinued
PRD00006,Office Chair A006,CAT006,SUP0043,12453.87,14541.57,108,Active
PRD00007,A4 Paper A007,CAT007,SUP0095,9585.73,12028.0,66,Discontinued
PRD00008,Ball Pen Pack A008,CAT008,SUP0089,8448.73,10094.12,29,Active
PRD00009,WiFi Router A009,CAT009,SUP0019,12532.16,17332.03,65,Active
PRD00010,Laser Printer A010,CAT010,SUP0006,704.09,912.4,55,Active
PRD00011,External SSD A011,CAT001,SUP0046,10256.43,14531.04,109,Discontinued
PRD00012,Power Bank A012,CAT002,SUP0031,14609.65,21180.94,120,Active
PRD00013,Webcam A013,CAT003,SUP0053,14644.99,21591.24,13,Active
PRD00014,Desk Lamp A014,CAT004,SUP0053,11069.54,14200.83,112,Active
PRD00015,Filing Cabinet A015,CAT005,SUP0014,4060.74,5948.78,58,Active
PRD00016,Ethernet Cable A016,CAT006,SUP0059,12890.21,15970.63,54,Active
PRD00017,Ink Cartridge A017,CAT007,SUP0029,12322.4,18465.48,13,Active
PRD00018,Headset A018,CAT008,SUP0009,6025.11,7600.32,108,Active
PRD00019,HDMI Cable A019,CAT009,SUP0087,5319.1,7200.8,117,Active
PRD00020,Calculator A020,CAT010,SUP0034,14093.42,16857.66,32,Active
PRD00021,Wireless Mouse B021,CAT001,SUP0045,650.8,903.72,103,Active
PRD00022,Mechanical Keyboard B022,CAT002,SUP0015,6591.0,10174.49,59,Active
PRD00023,LED Monitor B023,CAT003,SUP0001,3880.46,5562.69,76,Active
PRD00024,USB-C Hub B024,CAT004,SUP0086,5514.18,6495.65,52,Active
PRD00025,Laptop Stand B025,CAT005,SUP0039,9977.74,11971.79,74,Active
PRD00026,Office Chair B026,CAT006,SUP0090,10030.04,12843.2,47,Active
PRD00027,A4 Paper B027,CAT007,SUP0049,2942.25,4166.14,96,Active
PRD00028,Ball Pen Pack B028,CAT008,SUP0071,9263.48,11768.14,116,Active
PRD00029,WiFi Router B029,CAT009,SUP0075,4613.81,5693.78,87,Active
PRD00030,Laser Printer B030,CAT010,SUP0028,7017.62,9311.43,75,Discontinued
PRD00031,External SSD B031,CAT001,SUP0095,11922.53,18288.36,31,Active
PRD00032,Power Bank B032,CAT002,SUP0080,4314.09,6106.77,52,Active
PRD00033,Webcam B033,CAT003,SUP0087,12290.88,17827.37,49,Active
PRD00034,Desk Lamp B034,CAT004,SUP0006,12113.92,14645.02,41,Discontinued
PRD00035,Filing Cabinet B035,CAT005,SUP0059,9200.21,13408.35,63,Active
PRD00036,Ethernet Cable B036,CAT006,SUP0052,10797.72,14075.81,41,Active
PRD00037,Ink Cartridge B037,CAT007,SUP0097,9868.39,11370.54,120,Active
PRD00038,Headset B038,CAT008,SUP0090,11694.03,14471.79,76,Discontinued
PRD00039,HDMI Cable B039,CAT009,SUP0016,829.26,1036.31,68,Active
PRD00040,Calculator B040,CAT010,SUP0072,12037.14,17057.0,86,Active
PRD00041,Wireless Mouse C041,CAT001,SUP0079,14254.59,21475.54,114,Discontinued
PRD00042,Mechanical Keyboard C042,CAT002,SUP0021,12472.09,17076.15,105,Discontinued
PRD00043,LED Monitor C043,CAT003,SUP0082,6795.04,9857.64,45,Discontinued
PRD00044,USB-C Hub C044,CAT004,SUP0010,9431.09,11881.65,101,Active
PRD00045,Laptop Stand C045,CAT005,SUP0070,3578.64,4596.19,20,Active
PRD00046,Office Chair C046,CAT006,SUP0020,2330.39,3037.0,100,Active
PRD00047,A4 Paper C047,CAT007,SUP0070,1038.29,1363.32,69,Discontinued
PRD00048,Ball Pen Pack C048,CAT008,SUP0050,1009.0,1496.5,108,Active
PRD00049,WiFi Router C049,CAT009,SUP0049,12862.44,18730.77,71,Active
PRD00050,Laser Printer C050,CAT010,SUP0050,14145.71,17957.2,119,Discontinued
PRD00051,External SSD C051,CAT001,SUP0078,8110.25,11710.01,38,Discontinued
PRD00052,Power Bank C052,CAT002,SUP0004,3353.77,4441.51,59,Active
PRD00053,Webcam C053,CAT003,SUP0093,10059.59,14780.12,31,Discontinued
PRD00054,Desk Lamp C054,CAT004,SUP0069,13799.56,21282.91,13,Discontinued
PRD00055,Filing Cabinet C055,CAT005,SUP0011,8911.04,12610.9,92,Discontinued
PRD00056,Ethernet Cable C056,CAT006,SUP0007,2104.64,2809.02,43,Discontinued
PRD00057,Ink Cartridge C057,CAT007,SUP0044,4964.1,6611.58,107,Discontinued
PRD00058,Headset C058,CAT008,SUP0054,4231.59,6476.37,42,Active
PRD00059,HDMI Cable C059,CAT009,SUP0007,7096.98,10287.85,54,Active
PRD00060,Calculator C060,CAT010,SUP0084,9780.15,14303.4,15,Active
PRD00061,Wireless Mouse D061,CAT001,SUP0003,14248.21,17521.65,89,Active
PRD00062,Mechanical Keyboard D062,CAT002,SUP0015,3639.09,4874.29,82,Active
