purchase_order_item_id,purchase_order_id,product_id,quantity,unit_cost
POI00000001,PO0000536,PRD00728,31,6550.29
POI00000002,PO0003688,PRD00844,317,10706.01
POI00000003,PO0009861,PRD00216,452,12937.52
POI00000004,PO0000294,PRD00327,186,11465.77
POI00000005,PO0002710,PRD00130,113,731.22
POI00000006,PO0001499,PRD00898,337,11808.33
POI00000007,PO0003614,PRD00147,358,10379.48
POI00000008,PO0008124,PRD00093,15,12182.24
POI00000009,PO0007938,PRD00981,106,916.09
POI00000010,PO0009116,PRD00777,34,1687.86
POI00000011,PO0001484,PRD00075,301,3718.44
POI00000012,PO0000406,PRD00151,243,13666.4
POI00000013,PO0004115,PRD00242,369,9680.92
POI00000014,PO0003166,PRD00235,59,664.0
POI00000015,PO0006405,PRD00673,214,13879.93
POI00000016,PO0004234,PRD00390,117,6845.21
POI00000017,PO0001926,PRD00648,93,4835.26
POI00000018,PO0000191,PRD00643,194,5309.18
POI00000019,PO0004408,PRD00630,150,12112.17
POI00000020,PO0003723,PRD00745,256,7007.02
POI00000021,PO0006798,PRD00749,392,13186.86
POI00000022,PO0000892,PRD00074,32,12787.56
POI00000023,PO0004438,PRD00036,159,10797.72
POI00000024,PO0001837,PRD00751,427,10373.34
POI00000025,PO0002159,PRD00826,267,9650.03
POI00000026,PO0003187,PRD00449,260,4124.74
POI00000027,PO0005435,PRD00292,113,14246.05
POI00000028,PO0006846,PRD00588,393,11008.35
POI00000029,PO0005072,PRD00947,310,8686.66
POI00000030,PO0004518,PRD00502,328,7953.51
POI00000031,PO0001991,PRD00773,190,8251.54
POI00000032,PO0007308,PRD00236,379,5509.36
POI00000033,PO0004396,PRD00086,129,14709.22
POI00000034,PO0004842,PRD00881,77,13176.07
POI00000035,PO0009599,PRD00124,288,8304.87
POI00000036,PO0004085,PRD00854,40,7572.34
POI00000037,PO0001548,PRD00052,331,3353.77
POI00000038,PO0006958,PRD00255,161,13121.82
POI00000039,PO0003035,PRD00354,348,3435.02
POI00000040,PO0009328,PRD00803,277,4469.13
POI00000041,PO0003173,PRD00601,321,14472.35
POI00000042,PO0007142,PRD00649,459,13327.93
POI00000043,PO0006230,PRD00750,159,6059.6
POI00000044,PO0005173,PRD00792,317,12139.91
POI00000045,PO0004527,PRD00149,144,8656.19
POI00000046,PO0000626,PRD00675,226,9849.43
POI00000047,PO0003078,PRD00640,44,14055.38
POI00000048,PO0000138,PRD00623,129,11479.62
POI00000049,PO0006423,PRD00235,254,664.0
POI00000050,PO0006898,PRD00364,151,10243.38
POI00000051,PO0005409,PRD00405,37,8998.95
POI00000052,PO0007293,PRD00955,152,9957.38
POI00000053,PO0001942,PRD00769,247,14259.3
POI00000054,PO0009989,PRD00931,258,7216.54
POI00000055,PO0003647,PRD00319,466,3733.58
POI00000056,PO0006557,PRD00346,98,2284.81
POI00000057,PO0004953,PRD00710,134,7104.05
POI00000058,PO0000554,PRD00129,124,14713.16
POI00000059,PO0003781,PRD00043,428,6795.04
POI00000060,PO0007054,PRD00612,334,12339.55
POI00000061,PO0008609,PRD00767,357,8392.39
POI00000062,PO0001553,PRD00890,111,7834.85
POI00000063,PO0008181,PRD00187,316,4183.24
POI00000064,PO0003348,PRD00373,281,5013.81
POI00000065,PO0000762,PRD00659,419,2838.43
POI00000066,PO0000159,PRD00425,61,7731.22
POI00000067,PO0009129,PRD00335,64,12393.64
POI00000068,PO0007922,PRD00029,121,4613.81
POI00000069,PO0009047,PRD00867,318,2868.63
POI00000070,PO0003130,PRD00357,209,1898.36
POI00000071,PO0000725,PRD00344,370,8985.89
POI00000072,PO0005462,PRD00013,470,14644.99
POI00000073,PO0003525,PRD00425,182,7731.22
POI00000074,PO0005471,PRD00103,41,12413.34
POI00000075,PO0009345,PRD00902,144,10889.46
POI00000076,PO0002484,PRD00492,128,5276.64
POI00000077,PO0004087,PRD00172,69,1562.37
POI00000078,PO0008092,PRD00668,47,3092.64
POI00000079,PO0004742,PRD00751,194,10373.34
POI00000080,PO0006520,PRD00329,286,14502.96
POI00000081,PO0009644,PRD00546,480,218.56
POI00000082,PO0004423,PRD00489,30,5226.91
POI00000083,PO0002712,PRD00177,446,12210.75
POI00000084,PO0009383,PRD00239,415,3839.78
POI00000085,PO0008705,PRD00745,436,7007.02
POI00000086,PO0002155,PRD00247,246,9955.98
POI00000087,PO0003281,PRD00715,227,7125.52
POI00000088,PO0005660,PRD00225,292,11422.41
POI00000089,PO0008598,PRD00827,461,10537.16
POI00000090,PO0003286,PRD00278,306,4458.16
POI00000091,PO0001357,PRD00361,226,2128.11
POI00000092,PO0005439,PRD00697,211,6403.2
POI00000093,PO0007972,PRD00856,347,11059.92
POI00000094,PO0003981,PRD00436,449,10630.97
POI00000095,PO0007593,PRD00103,185,12413.34
POI00000096,PO0003632,PRD00906,353,9258.63
POI00000097,PO0009898,PRD00996,416,12098.44
POI00000098,PO0005246,PRD00990,227,4921.74
POI00000099,PO0009007,PRD00631,380,968.57
POI00000100,PO0009373,PRD00339,206,7828.44
POI00000101,PO0004978,PRD00850,29,12204.62
POI00000102,PO0001080,PRD00623,365,11479.62
POI00000103,PO0000068,PRD00477,189,8916.03
POI00000104,PO0003868,PRD00197,492,14528.51
POI00000105,PO0002835,PRD00051,227,8110.25
POI00000106,PO0003123,PRD00996,320,12098.44
POI00000107,PO0009004,PRD00708,84,13605.38
POI00000108,PO0007721,PRD00658,448,7106.49
POI00000109,PO0003213,PRD00602,363,12799.03
POI00000110,PO0006786,PRD00768,379,13360.45
POI00000111,PO0001210,PRD00263,57,9261.0
POI00000112,PO0003942,PRD00130,422,731.22
POI00000113,PO0008011,PRD00325,478,14185.14
POI00000114,PO0006424,PRD00957,84,8262.63
POI00000115,PO0000794,PRD00076,374,5099.04
POI00000116,PO0001349,PRD00001,201,9837.33
POI00000117,PO0001094,PRD00882,391,7275.03
POI00000118,PO0007520,PRD00400,307,14679.08
POI00000119,PO0007300,PRD00244,88,4688.28
POI00000120,PO0005681,PRD00856,151,11059.92
POI00000121,PO0009804,PRD00185,499,6440.0
POI00000122,PO0008612,PRD00591,356,1630.92
POI00000123,PO0005528,PRD00791,225,10139.71
POI00000124,PO0005282,PRD00938,231,14690.74
POI00000125,PO0000609,PRD00076,341,5099.04
POI00000126,PO0008531,PRD00356,53,5284.14
POI00000127,PO0008226,PRD00103,118,12413.34
POI00000128,PO0004246,PRD00616,42,1388.81
POI00000129,PO0002443,PRD00044,225,9431.09
POI00000130,PO0006471,PRD00095,147,11653.35
POI00000131,PO0005259,PRD00761,58,9679.51
POI00000132,PO0008855,PRD00375,377,2698.38
POI00000133,PO0002001,PRD00617,265,9490.86
POI00000134,PO0001537,PRD00046,135,2330.39
POI00000135,PO0004737,PRD00648,375,4835.26
POI00000136,PO0006464,PRD00064,269,11684.65
POI00000137,PO0008599,PRD00971,77,2515.98
POI00000138,PO0002140,PRD00776,85,3296.6
POI00000139,PO0004698,PRD00009,19,12532.16
POI00000140,PO0006328,PRD00853,441,2077.51
POI00000141,PO0009108,PRD00636,385,3410.7
POI00000142,PO0003812,PRD00103,365,12413.34
POI00000143,PO0005747,PRD00912,454,13951.33
POI00000144,PO0002325,PRD00437,443,981.92
POI00000145,PO0002116,PRD00368,97,13705.39
POI00000146,PO0004729,PRD00283,176,14607.96
POI00000147,PO0000021,PRD00796,478,5431.54
POI00000148,PO0008232,PRD00700,290,8456.94
POI00000149,PO0004715,PRD00074,52,12787.56
POI00000150,PO0008982,PRD00179,205,11993.83
POI00000151,PO0001074,PRD00513,184,7371.4
POI00000152,PO0008958,PRD00467,316,10304.91
POI00000153,PO0004953,PRD00999,64,8190.82
POI00000154,PO0006192,PRD00638,306,14235.92
POI00000155,PO0004265,PRD00466,288,10894.67
POI00000156,PO0009530,PRD00196,412,6209.26
POI00000157,PO0002250,PRD00480,489,10120.83
POI00000158,PO0005023,PRD00755,57,12949.63
POI00000159,PO0002879,PRD00055,357,8911.04
POI00000160,PO0005366,PRD00276,481,12469.32
POI00000161,PO0003701,PRD00573,269,5628.29
POI00000162,PO0000792,PRD00184,347,6913.99
POI00000163,PO0007251,PRD00934,353,8748.64
POI00000164,PO0003951,PRD00536,134,5119.31
POI00000165,PO0008815,PRD00127,72,12989.69
POI00000166,PO0005861,PRD00047,58,1038.29
POI00000167,PO0004521,PRD00061,67,14248.21
