purchase_order_id,supplier_id,warehouse_id,order_date,expected_delivery_date,actual_delivery_date,status
PO0000001,SUP0024,WH005,2025-09-09,2025-09-22,2025-09-22,Delivered
PO0000002,SUP0068,WH001,2025-02-14,2025-02-23,2025-02-24,Delivered
PO0000003,SUP0011,WH002,2025-09-14,2025-09-19,2025-09-20,Delivered
PO0000004,SUP0023,WH005,2026-05-22,2026-06-01,2026-06-01,Delivered
PO0000005,SUP0008,WH009,2026-02-21,2026-03-07,2026-03-10,Delivered
PO0000006,SUP0073,WH004,2026-03-10,2026-03-24,2026-03-24,Delivered
PO0000007,SUP0096,WH003,2026-01-11,2026-01-22,2026-01-22,Delivered
PO0000008,SUP0021,WH002,2026-02-08,2026-02-19,2026-02-19,Delivered
PO0000009,SUP0033,WH008,2025-05-11,2025-05-15,2025-05-15,Delivered
PO0000010,SUP0059,WH010,2025-11-29,2025-12-01,2025-12-01,Delivered
PO0000011,SUP0095,WH008,2026-05-08,2026-05-21,2026-05-21,Delivered
PO0000012,SUP0056,WH009,2026-01-18,2026-01-28,2026-01-29,Delivered
PO0000013,SUP0086,WH010,2026-02-01,2026-02-11,2026-02-13,Delivered
PO0000014,SUP0063,WH009,2026-04-11,2026-04-25,2026-04-25,Delivered
PO0000015,SUP0049,WH004,2026-04-04,2026-04-13,2026-04-18,Cancelled
PO0000016,SUP0002,WH009,2026-06-11,2026-06-21,2026-06-21,Delivered
PO0000017,SUP0080,WH003,2025-11-26,2025-12-09,2025-12-09,Delivered
PO0000018,SUP0015,WH006,2026-01-31,2026-02-03,2026-02-11,Delivered
PO0000019,SUP0033,WH005,2026-08-24,2026-08-29,,In Transit
PO0000020,SUP0042,WH008,2025-03-18,2025-03-26,2025-03-26,Delivered
PO0000021,SUP0028,WH005,2026-07-03,2026-07-07,2026-07-08,Delivered
PO0000022,SUP0026,WH003,2026-02-13,2026-02-24,2026-02-24,Delivered
PO0000023,SUP0091,WH006,2025-03-24,2025-03-29,2025-03-31,Delivered
PO0000024,SUP0017,WH003,2026-08-12,2026-08-25,,In Transit
PO0000025,SUP0007,WH009,2025-03-01,2025-03-06,2025-03-08,Delivered
PO0000026,SUP0070,WH004,2026-07-06,2026-07-19,2026-07-19,Delivered
PO0000027,SUP0059,WH006,2026-05-23,2026-06-04,2026-06-05,Delivered
PO0000028,SUP0064,WH008,2025-06-23,2025-06-26,2025-06-26,Delivered
PO0000029,SUP0089,WH005,2026-01-05,2026-01-14,2026-01-14,Delivered
PO0000030,SUP0069,WH006,2025-06-25,2025-07-01,2025-07-01,Delivered
PO0000031,SUP0016,WH004,2026-04-06,2026-04-13,2026-04-15,Delivered
PO0000032,SUP0070,WH006,2026-06-09,2026-06-17,2026-06-17,Delivered
PO0000033,SUP0035,WH008,2025-08-23,2025-08-27,2025-08-27,Delivered
PO0000034,SUP0022,WH008,2025-03-21,2025-03-27,2025-03-29,Delivered
PO0000035,SUP0032,WH008,2026-07-10,2026-07-21,2026-07-24,Delivered
PO0000036,SUP0028,WH009,2026-05-12,2026-05-25,2026-05-25,Delivered
PO0000037,SUP0055,WH005,2025-09-21,2025-10-03,2025-10-03,Delivered
PO0000038,SUP0073,WH002,2025-09-19,2025-09-21,2025-09-21,Delivered
PO0000039,SUP0066,WH009,2025-01-20,2025-01-25,2025-01-25,Delivered
PO0000040,SUP0058,WH005,2025-12-27,2026-01-06,2026-01-06,Delivered
PO0000041,SUP0048,WH006,2025-06-18,2025-06-22,2025-06-22,Delivered
PO0000042,SUP0096,WH010,2025-04-28,2025-05-04,2025-05-09,Delivered
PO0000043,SUP0071,WH007,2025-03-20,2025-03-22,2025-03-22,Delivered
PO0000044,SUP0010,WH009,2025-07-25,2025-08-08,2025-08-08,Delivered
PO0000045,SUP0022,WH002,2025-06-03,2025-06-07,2025-06-07,Delivered
PO0000046,SUP0012,WH007,2025-08-19,2025-08-26,2025-08-28,Delivered
PO0000047,SUP0064,WH007,2026-01-17,2026-01-19,2026-01-19,Delivered
PO0000048,SUP0003,WH002,2026-03-06,2026-03-09,2026-03-09,Delivered
PO0000049,SUP0079,WH006,2025-02-02,2025-02-10,2025-02-12,Delivered
PO0000050,SUP0073,WH007,2026-05-23,2026-05-26,2026-05-26,Delivered
PO0000051,SUP0067,WH010,2025-01-27,2025-02-01,2025-02-03,Delivered
PO0000052,SUP0004,WH010,2025-08-27,2025-09-02,2025-09-02,Cancelled
PO0000053,SUP0055,WH009,2025-03-18,2025-04-01,2025-04-01,Delivered
PO0000054,SUP0044,WH008,2025-06-04,2025-06-07,2025-06-07,Delivered
PO0000055,SUP0024,WH004,2026-01-17,2026-01-26,2026-01-26,Cancelled
PO0000056,SUP0049,WH001,2025-02-22,2025-02-27,2025-03-04,Delivered
PO0000057,SUP0077,WH010,2026-04-25,2026-04-30,2026-05-03,Delivered
PO0000058,SUP0089,WH006,2026-06-17,2026-06-26,2026-06-29,Cancelled
PO0000059,SUP0057,WH009,2025-03-12,2025-03-25,2025-03-27,Delivered
PO0000060,SUP0070,WH006,2025-12-09,2025-12-19,2025-12-19,Delivered
PO0000061,SUP0064,WH002,2025-11-16,2025-11-18,2025-11-18,Delivered
PO0000062,SUP0081,WH009,2026-03-05,2026-03-07,2026-03-08,Delivered
PO0000063,SUP0041,WH010,2025-11-08,2025-11-15,2025-11-15,Delivered
PO0000064,SUP0076,WH003,2026-06-01,2026-06-04,2026-06-04,Delivered
PO0000065,SUP0095,WH004,2025-12-14,2025-12-18,2025-12-18,Delivered
PO0000066,SUP0092,WH006,2025-11-27,2025-12-03,2025-12-03,Delivered
PO0000067,SUP0066,WH009,2025-11-19,2025-12-02,2025-12-02,Delivered
PO0000068,SUP0037,WH004,2025-03-16,2025-03-26,2025-03-26,Delivered
PO0000069,SUP0073,WH004,2026-03-11,2026-03-13,2026-03-14,Delivered
PO0000070,SUP0078,WH002,2025-09-07,2025-09-20,2025-09-20,Delivered
PO0000071,SUP0075,WH008,2025-01-17,2025-01-23,2025-01-26,Delivered
PO0000072,SUP0068,WH010,2025-06-17,2025-06-26,2025-06-27,Delivered
PO0000073,SUP0037,WH010,2025-01-18,2025-01-21,2025-01-21,Delivered
PO0000074,SUP0055,WH003,2026-02-03,2026-02-08,2026-02-08,Delivered
PO0000075,SUP0089,WH001,2026-02-19,2026-02-27,2026-02-28,Delivered
PO0000076,SUP0054,WH009,2026-02-01,2026-02-09,2026-02-09,Delivered
PO0000077,SUP0027,WH007,2025-08-26,2025-09-02,2025-09-04,Delivered
PO0000078,SUP0094,WH006,2026-02-28,2026-03-11,2026-03-14,Delivered
PO0000079,SUP0100,WH005,2025-03-12,2025-03-18,2025-03-18,Delivered
PO0000080,SUP0041,WH010,2025-08-27,2025-09-08,2025-09-08,Delivered
PO0000081,SUP0035,WH007,2025-08-03,2025-08-08,2025-08-09,Delivered
PO0000082,SUP0051,WH005,2026-03-21,2026-03-27,2026-03-27,Delivered
PO0000083,SUP0099,WH009,2025-02-12,2025-02-21,2025-02-22,Delivered
PO0000084,SUP0042,WH010,2025-12-04,2025-12-06,2025-12-06,Delivered
PO0000085,SUP0051,WH007,2025-09-11,2025-09-15,2025-09-15,Delivered
PO0000086,SUP0039,WH010,2025-07-28,2025-08-11,2025-08-11,Delivered
PO0000087,SUP0023,WH008,2025-05-02,2025-05-04,2025-05-12,Delivered
PO0000088,SUP0069,WH010,2025-05-02,2025-05-10,2025-05-13,Delivered
PO0000089,SUP0032,WH001,2026-05-10,2026-05-17,2026-05-19,Delivered
PO0000090,SUP0046,WH008,2026-07-25,2026-08-06,2026-08-06,Delivered
PO0000091,SUP0015,WH007,2025-12-14,2025-12-19,2025-12-19,Delivered
PO0000092,SUP0072,WH005,2025-04-06,2025-04-09,2025-04-09,Delivered
PO0000093,SUP0020,WH005,2026-08-07,2026-08-17,2026-08-17,Delivered
PO0000094,SUP0037,WH005,2025-04-02,2025-04-09,2025-04-09,Delivered
PO0000095,SUP0041,WH010,2026-08-26,2026-08-28,,In Transit
PO0000096,SUP0051,WH002,2025-06-03,2025-06-12,2025-06-12,Delivered
PO0000097,SUP0004,WH009,2025-04-01,2025-04-04,2025-04-04,Delivered
PO0000098,SUP0022,WH010,2025-12-11,2025-12-25,2025-12-28,Delivered
PO0000099,SUP0100,WH002,2025-02-04,2025-02-07,2025-02-12,Delivered
PO0000100,SUP0047,WH005,2025-06-16,2025-06-30,2025-06-30,Delivered
PO0000101,SUP0014,WH009,2026-03-11,2026-03-19,2026-03-19,Delivered
PO0000102,SUP0031,WH003,2026-02-05,2026-02-16,2026-02-19,Delivered
PO0000103,SUP0035,WH004,2025-05-29,2025-06-06,2025-06-06,Delivered
PO0000104,SUP0084,WH005,2026-04-22,2026-05-05,2026-05-07,Delivered
PO0000105,SUP0014,WH008,2026-04-02,2026-04-04,2026-04-04,Delivered
PO0000106,SUP0062,WH004,2025-07-21,2025-07-23,2025-07-23,Delivered
PO0000107,SUP0062,WH004,2026-05-02,2026-05-14,2026-05-14,Delivered
PO0000108,SUP0001,WH009,2025-11-03,2025-11-12,2025-11-12,Delivered
PO0000109,SUP0052,WH004,2025-05-12,2025-05-25,2025-05-25,Delivered
