return_id,order_id,product_id,return_date,quantity,reason
RET0000001,ORD0010546,PRD00624,2026-08-18,3,Late Delivery
RET0000002,ORD0032268,PRD00184,2025-11-06,1,Defective
RET0000003,ORD0006153,PRD00141,2025-08-15,2,Wrong Product
RET0000004,ORD0029145,PRD00805,2025-10-05,2,Defective
RET0000005,ORD0027070,PRD00470,2025-04-26,1,Changed Mind
RET0000006,ORD0012272,PRD00888,2025-01-19,2,Damaged
RET0000007,ORD0016311,PRD00159,2025-01-06,1,Defective
RET0000008,ORD0028390,PRD00030,2025-08-08,3,Changed Mind
RET0000009,ORD0021377,PRD00982,2025-02-20,1,Damaged
RET0000010,ORD0016776,PRD00171,2025-11-04,3,Late Delivery
RET0000011,ORD0047161,PRD00562,2025-02-20,1,Size/Compatibility
RET0000012,ORD0022302,PRD00494,2025-06-25,1,Changed Mind
RET0000013,ORD0040868,PRD00034,2025-10-01,1,Damaged
RET0000014,ORD0019909,PRD00429,2025-01-29,1,Wrong Product
RET0000015,ORD0039073,PRD00747,2025-10-02,3,Size/Compatibility
RET0000016,ORD0020334,PRD00401,2025-06-07,2,Changed Mind
RET0000017,ORD0005148,PRD00263,2025-12-06,3,Wrong Product
RET0000018,ORD0028309,PRD00328,2025-12-22,3,Size/Compatibility
RET0000019,ORD0006185,PRD00260,2026-05-14,3,Changed Mind
RET0000020,ORD0045932,PRD00925,2025-03-06,1,Late Delivery
RET0000021,ORD0041534,PRD00753,2025-02-22,1,Wrong Product
RET0000022,ORD0020353,PRD00105,2026-08-05,2,Size/Compatibility
RET0000023,ORD0035641,PRD00531,2026-01-20,2,Defective
RET0000024,ORD0032165,PRD00334,2026-06-25,2,Wrong Product
RET0000025,ORD0010341,PRD00657,2026-04-24,2,Late Delivery
RET0000026,ORD0007623,PRD00587,2025-03-18,3,Late Delivery
RET0000027,ORD0026490,PRD00917,2025-06-05,2,Defective
RET0000028,ORD0044026,PRD00289,2026-08-11,3,Changed Mind
RET0000029,ORD0012756,PRD00885,2025-09-27,3,Wrong Product
RET0000030,ORD0018806,PRD00820,2025-05-24,3,Changed Mind
RET0000031,ORD0018817,PRD00423,2026-01-29,1,Changed Mind
RET0000032,ORD0012091,PRD00796,2025-09-20,2,Changed Mind
RET0000033,ORD0046906,PRD00837,2026-01-14,2,Late Delivery
RET0000034,ORD0039444,PRD00468,2026-06-04,1,Damaged
RET0000035,ORD0048285,PRD00217,2025-09-19,1,Wrong Product
RET0000036,ORD0034940,PRD00710,2026-03-29,2,Damaged
RET0000037,ORD0010745,PRD00870,2025-07-29,3,Defective
RET0000038,ORD0001276,PRD00554,2025-02-11,3,Late Delivery
RET0000039,ORD0018931,PRD00408,2025-08-27,1,Defective
RET0000040,ORD0045118,PRD00836,2026-07-11,2,Damaged
RET0000041,ORD0031137,PRD00072,2025-09-06,2,Size/Compatibility
RET0000042,ORD0012075,PRD00036,2025-12-14,3,Changed Mind
RET0000043,ORD0039665,PRD00833,2025-03-25,2,Late Delivery
RET0000044,ORD0024342,PRD00153,2025-11-03,1,Wrong Product
RET0000045,ORD0034851,PRD00491,2025-06-19,2,Changed Mind
RET0000046,ORD0020393,PRD00786,2025-01-16,1,Wrong Product
RET0000047,ORD0017705,PRD00033,2025-03-29,2,Defective
RET0000048,ORD0019814,PRD00578,2025-10-15,2,Late Delivery
RET0000049,ORD0029192,PRD00772,2026-04-16,2,Changed Mind
RET0000050,ORD0015515,PRD00440,2026-03-01,2,Size/Compatibility
RET0000051,ORD0044294,PRD00010,2026-08-17,2,Size/Compatibility
RET0000052,ORD0036408,PRD00862,2025-04-16,3,Wrong Product
RET0000053,ORD0026502,PRD00026,2026-04-07,3,Defective
RET0000054,ORD0022982,PRD00441,2026-04-24,1,Damaged
RET0000055,ORD0000447,PRD00915,2025-08-31,2,Defective
RET0000056,ORD0048762,PRD00603,2025-11-28,2,Size/Compatibility
RET0000057,ORD0032935,PRD00910,2025-05-07,1,Wrong Product
RET0000058,ORD0048659,PRD00678,2026-05-15,2,Defective
RET0000059,ORD0047280,PRD00886,2025-06-17,3,Changed Mind
RET0000060,ORD0045875,PRD00893,2025-02-20,2,Wrong Product
RET0000061,ORD0007644,PRD00650,2026-06-21,2,Changed Mind
RET0000062,ORD0008156,PRD00380,2026-06-30,1,Late Delivery
RET0000063,ORD0005721,PRD00531,2026-05-29,2,Late Delivery
RET0000064,ORD0028721,PRD00657,2025-07-16,1,Wrong Product
RET0000065,ORD0016785,PRD00828,2025-10-29,1,Size/Compatibility
RET0000066,ORD0047721,PRD00815,2026-05-11,1,Wrong Product
RET0000067,ORD0049706,PRD00549,2025-04-06,2,Size/Compatibility
RET0000068,ORD0005348,PRD00290,2026-02-03,3,Wrong Product
RET0000069,ORD0031913,PRD00167,2025-10-10,1,Late Delivery
RET0000070,ORD0003846,PRD00681,2025-01-23,3,Changed Mind
RET0000071,ORD0049000,PRD00169,2026-01-30,2,Defective
RET0000072,ORD0041185,PRD00022,2025-10-21,2,Changed Mind
RET0000073,ORD0008835,PRD00027,2025-04-12,2,Defective
RET0000074,ORD0038646,PRD00408,2025-12-21,3,Size/Compatibility
RET0000075,ORD0007366,PRD00664,2025-05-26,2,Size/Compatibility
RET0000076,ORD0006225,PRD00194,2026-06-16,1,Wrong Product
RET0000077,ORD0046301,PRD00229,2026-03-04,2,Damaged
RET0000078,ORD0042500,PRD00373,2026-04-23,3,Defective
RET0000079,ORD0039710,PRD00145,2025-07-15,2,Size/Compatibility
RET0000080,ORD0030215,PRD00787,2025-09-23,3,Defective
RET0000081,ORD0011194,PRD00268,2025-05-28,3,Size/Compatibility
RET0000082,ORD0010215,PRD00944,2025-06-26,2,Damaged
RET0000083,ORD0021916,PRD00565,2026-04-17,1,Changed Mind
RET0000084,ORD0036660,PRD00430,2025-02-10,1,Damaged
RET0000085,ORD0024408,PRD00354,2025-05-18,1,Changed Mind
RET0000086,ORD0032846,PRD00543,2025-04-06,3,Late Delivery
RET0000087,ORD0004374,PRD00615,2025-03-07,1,Damaged
RET0000088,ORD0012076,PRD00355,2026-06-25,2,Damaged
RET0000089,ORD0002015,PRD00371,2025-05-31,1,Wrong Product
RET0000090,ORD0022959,PRD00446,2025-08-08,3,Changed Mind
RET0000091,ORD0008307,PRD00615,2025-10-28,2,Wrong Product
RET0000092,ORD0004214,PRD00148,2026-08-18,1,Late Delivery
RET0000093,ORD0028424,PRD00366,2026-04-16,2,Wrong Product
RET0000094,ORD0004850,PRD00888,2026-05-03,3,Damaged
RET0000095,ORD0029014,PRD00438,2025-01-24,3,Wrong Product
RET0000096,ORD0014355,PRD00090,2026-07-16,1,Wrong Product
RET0000097,ORD0005791,PRD00626,2025-12-24,2,Changed Mind
RET0000098,ORD0039552,PRD00864,2025-06-07,1,Late Delivery
RET0000099,ORD0007194,PRD00831,2026-04-28,1,Wrong Product
RET0000100,ORD0014158,PRD00221,2026-07-29,2,Late Delivery
RET0000101,ORD0004492,PRD00671,2025-07-08,1,Wrong Product
RET0000102,ORD0040534,PRD00083,2026-06-07,3,Size/Compatibility
RET0000103,ORD0000030,PRD00633,2025-02-16,1,Size/Compatibility
RET0000104,ORD0020184,PRD00670,2025-09-04,1,Defective
RET0000105,ORD0004716,PRD00393,2026-04-30,3,Wrong Product
RET0000106,ORD0012703,PRD00909,2025-01-11,2,Defective
RET0000107,ORD0006740,PRD00681,2026-03-31,2,Wrong Product
RET0000108,ORD0018463,PRD00846,2026-03-17,1,Wrong Product
RET0000109,ORD0002262,PRD00588,2025-05-03,1,Late Delivery
RET0000110,ORD0000778,PRD00560,2025-01-16,1,Damaged
RET0000111,ORD0033585,PRD00535,2026-05-15,2,Wrong Product
RET0000112,ORD0004576,PRD00115,2025-08-11,2,Damaged
RET0000113,ORD0016851,PRD00742,2026-01-25,1,Size/Compatibility
RET0000114,ORD0041438,PRD00998,2026-07-05,3,Late Delivery
RET0000115,ORD0040076,PRD00339,2025-02-10,1,Wrong Product
RET0000116,ORD0025979,PRD00155,2025-06-02,3,Defective
RET0000117,ORD0016106,PRD00155,2025-12-13,1,Changed Mind
RET0000118,ORD0033717,PRD00754,2025-01-10,3,Defective
RET0000119,ORD0036296,PRD00078,2025-08-27,1,Size/Compatibility
RET0000120,ORD0009878,PRD00810,2025-09-26,2,Size/Compatibility
RET0000121,ORD0033551,PRD00609,2025-03-10,3,Changed Mind
RET0000122,ORD0044545,PRD00757,2025-07-24,3,Late Delivery
RET0000123,ORD0035771,PRD00391,2026-05-04,1,Wrong Product
RET0000124,ORD0018223,PRD00498,2025-04-08,3,Defective
RET0000125,ORD0028007,PRD00076,2025-02-14,1,Wrong Product
RET0000126,ORD0049770,PRD00523,2025-10-03,2,Changed Mind
RET0000127,ORD0023589,PRD00686,2025-04-09,1,Late Delivery
RET0000128,ORD0044645,PRD00630,2025-08-23,1,Size/Compatibility
RET0000129,ORD0006165,PRD00252,2025-08-08,2,Damaged
RET0000130,ORD0003255,PRD00574,2025-12-28,1,Damaged
RET0000131,ORD0032993,PRD00555,2026-02-06,3,Changed Mind
RET0000132,ORD0011172,PRD00981,2025-04-27,2,Size/Compatibility
RET0000133,ORD0017824,PRD00965,2026-04-10,3,Size/Compatibility
RET0000134,ORD0047910,PRD00354,2025-12-04,3,Size/Compatibility
RET0000135,ORD0037094,PRD00615,2026-04-17,1,Late Delivery
RET0000136,ORD0019735,PRD00570,2026-02-21,2,Damaged
RET0000137,ORD0023087,PRD00112,2026-01-16,3,Wrong Product
RET0000138,ORD0022374,PRD00740,2026-02-02,1,Damaged
RET0000139,ORD0025624,PRD00696,2026-02-03,1,Wrong Product
RET0000140,ORD0040413,PRD00828,2025-09-20,1,Size/Compatibility
RET0000141,ORD0015564,PRD00058,2025-03-03,1,Changed Mind
RET0000142,ORD0004141,PRD00244,2025-03-25,1,Defective
RET0000143,ORD0009635,PRD00828,2026-01-22,1,Changed Mind
RET0000144,ORD0025456,PRD00025,2026-01-17,2,Wrong Product
RET0000145,ORD0014031,PRD00269,2026-01-16,1,Defective
RET0000146,ORD0014705,PRD00311,2025-11-12,3,Changed Mind
RET0000147,ORD0033942,PRD00677,2025-06-23,3,Changed Mind
RET0000148,ORD0030944,PRD00901,2026-08-11,2,Changed Mind
RET0000149,ORD0045937,PRD00381,2026-03-27,1,Damaged
RET0000150,ORD0019622,PRD00577,2026-04-29,3,Defective
RET0000151,ORD0008372,PRD00315,2026-02-27,3,Size/Compatibility
RET0000152,ORD0032332,PRD00687,2025-07-20,3,Defective
RET0000153,ORD0000867,PRD00295,2026-07-06,1,Size/Compatibility
RET0000154,ORD0011107,PRD00084,2025-02-28,1,Damaged
RET0000155,ORD0036567,PRD00122,2026-08-17,2,Changed Mind
RET0000156,ORD0015014,PRD00399,2025-02-07,2,Size/Compatibility
RET0000157,ORD0000699,PRD00158,2026-04-26,1,Defective
RET0000158,ORD0003322,PRD00554,2025-10-20,1,Changed Mind
RET0000159,ORD0035538,PRD00714,2025-09-01,1,Defective
RET0000160,ORD0000086,PRD00824,2026-06-02,2,Defective
RET0000161,ORD0037779,PRD00687,2026-03-20,1,Changed Mind
RET0000162,ORD0044598,PRD00794,2026-05-29,1,Size/Compatibility
RET0000163,ORD0049633,PRD00845,2026-06-21,3,Size/Compatibility
RET0000164,ORD0044173,PRD00303,2025-12-15,1,Changed Mind
RET0000165,ORD0018442,PRD00713,2025-11-27,2,Defective
RET0000166,ORD0016701,PRD00994,2025-07-01,1,Wrong Product
RET0000167,ORD0018123,PRD00131,2025-04-01,1,Changed Mind
RET0000168,ORD0034398,PRD00608,2026-01-17,2,Size/Compatibility
RET0000169,ORD0001375,PRD00139,2026-07-13,1,Wrong Product
RET0000170,ORD0040426,PRD00019,2026-07-26,3,Defective
RET0000171,ORD0038760,PRD00850,2026-02-01,2,Size/Compatibility
RET0000172,ORD0013905,PRD00845,2025-09-21,1,Defective
RET0000173,ORD0033037,PRD00572,2025-07-08,2,Wrong Product
RET0000174,ORD0023592,PRD00788,2025-07-17,1,Defective
RET0000175,ORD0042924,PRD00413,2025-02-25,2,Size/Compatibility
RET0000176,ORD0040505,PRD00670,2025-02-20,3,Defective
RET0000177,ORD0019303,PRD00544,2025-03-16,2,Late Delivery
RET0000178,ORD0038149,PRD00586,2025-05-03,1,Defective
RET0000179,ORD0010511,PRD00599,2026-01-13,2,Late Delivery
RET0000180,ORD0003509,PRD00211,2026-08-16,2,Size/Compatibility
RET0000181,ORD0007744,PRD00562,2025-10-16,3,Wrong Product
RET0000182,ORD0010987,PRD00443,2026-01-26,1,Changed Mind
RET0000183,ORD0002761,PRD00146,2025-11-08,1,Changed Mind
RET0000184,ORD0004944,PRD00864,2026-01-04,1,Wrong Product
RET0000185,ORD0008630,PRD00859,2026-04-24,2,Late Delivery
RET0000186,ORD0010770,PRD00221,2025-11-26,3,Size/Compatibility
RET0000187,ORD0045715,PRD00632,2026-04-03,2,Changed Mind
RET0000188,ORD0029828,PRD00865,2025-05-20,3,Late Delivery
RET0000189,ORD0015289,PRD00775,2025-04-04,2,Changed Mind
RET0000190,ORD0047618,PRD00534,2025-07-17,2,Defective
RET0000191,ORD0033394,PRD00861,2025-05-16,3,Damaged
RET0000192,ORD0045765,PRD00917,2025-10-04,2,Damaged
RET0000193,ORD0044982,PRD00333,2026-04-10,1,Size/Compatibility
RET0000194,ORD0010983,PRD00891,2025-08-02,1,Defective
RET0000195,ORD0020081,PRD00362,2026-05-13,1,Damaged
RET0000196,ORD0021973,PRD00039,2025-08-03,2,Changed Mind
RET0000197,ORD0018620,PRD00019,2026-06-28,1,Size/Compatibility
RET0000198,ORD0006971,PRD00057,2025-03-29,3,Changed Mind
RET0000199,ORD0045405,PRD00847,2025-10-08,1,Late Delivery
RET0000200,ORD0007517,PRD00670,2025-05-06,2,Wrong Product
RET0000201,ORD0008866,PRD00894,2025-06-20,3,Late Delivery
RET0000202,ORD0028935,PRD00748,2026-05-08,2,Wrong Product
RET0000203,ORD0027719,PRD00922,2026-05-17,1,Changed Mind
RET0000204,ORD0019050,PRD00159,2026-05-28,1,Late Delivery
RET0000205,ORD0009850,PRD00299,2025-01-01,3,Size/Compatibility
RET0000206,ORD0004318,PRD00989,2025-11-12,3,Size/Compatibility
RET0000207,ORD0039667,PRD00750,2025-10-29,1,Defective
RET0000208,ORD0003831,PRD00554,2026-05-27,3,Changed Mind
RET0000209,ORD0048996,PRD00578,2025-09-14,2,Damaged
RET0000210,ORD0009038,PRD00265,2026-03-19,3,Defective
RET0000211,ORD0027356,PRD00090,2026-07-16,1,Defective
RET0000212,ORD0023726,PRD00642,2025-10-04,3,Size/Compatibility
RET0000213,ORD0036022,PRD00432,2026-04-23,3,Changed Mind
RET0000214,ORD0041719,PRD00250,2026-03-08,1,Late Delivery
RET0000215,ORD0038590,PRD00342,2026-08-02,1,Changed Mind
RET0000216,ORD0030405,PRD00402,2026-07-03,3,Defective
RET0000217,ORD0015604,PRD00585,2026-03-25,2,Late Delivery
RET0000218,ORD0048354,PRD00051,2025-07-16,3,Late Delivery
RET0000219,ORD0004296,PRD00873,2025-01-07,3,Wrong Product
RET0000220,ORD0030156,PRD00171,2025-05-19,1,Damaged
RET0000221,ORD0040327,PRD00768,2026-06-20,2,Changed Mind
RET0000222,ORD0032827,PRD00776,2025-05-30,2,Late Delivery
RET0000223,ORD0044831,PRD00427,2026-08-25,2,Changed Mind
RET0000224,ORD0049560,PRD00193,2025-09-21,1,Late Delivery
RET0000225,ORD0019426,PRD00097,2026-07-09,3,Late Delivery
RET0000226,ORD0042566,PRD00664,2025-10-04,2,Wrong Product
RET0000227,ORD0019601,PRD00456,2025-02-01,2,Defective
RET0000228,ORD0025202,PRD00985,2025-06-04,3,Size/Compatibility
RET0000229,ORD0012253,PRD00776,2025-12-20,3,Defective
RET0000230,ORD0020563,PRD00073,2025-03-14,3,Wrong Product
RET0000231,ORD0037146,PRD00109,2025-02-18,2,Defective
RET0000232,ORD0004947,PRD00377,2025-03-02,1,Changed Mind
RET0000233,ORD0032855,PRD00499,2026-01-23,3,Size/Compatibility
RET0000234,ORD0047171,PRD00195,2026-07-12,2,Damaged
RET0000235,ORD0000321,PRD00362,2026-02-12,1,Wrong Product
RET0000236,ORD0000047,PRD00415,2025-01-08,2,Size/Compatibility
RET0000237,ORD0020455,PRD00863,2025-11-27,3,Defective
RET0000238,ORD0021105,PRD00836,2025-06-22,3,Changed Mind
RET0000239,ORD0046924,PRD00112,2026-04-19,2,Damaged
RET0000240,ORD0036789,PRD00307,2026-07-18,1,Damaged
RET0000241,ORD0003255,PRD00770,2026-05-16,3,Wrong Product
RET0000242,ORD0005726,PRD00867,2025-08-10,3,Late Delivery
RET0000243,ORD0021948,PRD00935,2026-01-10,2,Damaged
RET0000244,ORD0029937,PRD00250,2025-07-03,3,Wrong Product
RET0000245,ORD0028126,PRD00024,2025-06-26,1,Size/Compatibility
RET0000246,ORD0001539,PRD00267,2025-08-12,1,Changed Mind
RET0000247,ORD0021908,PRD00154,2026-03-19,1,Wrong Product
RET0000248,ORD0024488,PRD00016,2026-04-22,2,Defective
RET0000249,ORD0017389,PRD00689,2025-09-26,1,Defective
RET0000250,ORD0036635,PRD00133,2025-01-24,3,Wrong Product
RET0000251,ORD0031086,PRD00154,2026-06-15,2,Late Delivery
RET0000252,ORD0010771,PRD00002,2026-04-14,3,Size/Compatibility
RET0000253,ORD0034615,PRD00580,2026-06-05,3,Changed Mind
RET0000254,ORD0007647,PRD00093,2026-08-26,3,Damaged
RET0000255,ORD0006487,PRD00378,2025-04-15,3,Size/Compatibility
RET0000256,ORD0021648,PRD00705,2025-11-30,1,Wrong Product
RET0000257,ORD0022405,PRD00830,2026-07-04,2,Size/Compatibility
RET0000258,ORD0036088,PRD00984,2025-11-30,3,Wrong Product
RET0000259,ORD0015280,PRD00559,2025-11-05,2,Size/Compatibility
RET0000260,ORD0004157,PRD00435,2025-12-08,3,Wrong Product
RET0000261,ORD0024292,PRD00432,2026-02-13,1,Changed Mind
RET0000262,ORD0020679,PRD00722,2026-03-26,2,Size/Compatibility
RET0000263,ORD0041175,PRD00736,2025-07-26,3,Damaged
RET0000264,ORD0001439,PRD00529,2025-03-05,2,Changed Mind
RET0000265,ORD0025504,PRD00152,2026-01-03,3,Damaged
RET0000266,ORD0023839,PRD00822,2025-01-06,2,Changed Mind
RET0000267,ORD0005796,PRD00035,2025-01-20,2,Changed Mind
RET0000268,ORD0030930,PRD00829,2025-02-06,1,Defective
RET0000269,ORD0015171,PRD00548,2025-07-13,2,Size/Compatibility
RET0000270,ORD0018021,PRD00708,2025-02-19,2,Late Delivery
RET0000271,ORD0030653,PRD00927,2025-10-27,1,Defective
RET0000272,ORD0023472,PRD00862,2025-05-05,1,Late Delivery
RET0000273,ORD0027804,PRD00264,2025-09-30,3,Size/Compatibility
RET0000274,ORD0025054,PRD00767,2026-02-10,2,Changed Mind
RET0000275,ORD0010258,PRD00949,2025-09-10,1,Defective
RET0000276,ORD0028344,PRD00492,2025-01-09,1,Late Delivery
RET0000277,ORD0024758,PRD00133,2025-01-30,1,Defective
RET0000278,ORD0000815,PRD00114,2025-02-28,3,Defective
RET0000279,ORD0032002,PRD00803,2026-01-04,2,Defective
RET0000280,ORD0023573,PRD00941,2026-06-25,1,Changed Mind
RET0000281,ORD0045991,PRD00319,2026-01-24,2,Late Delivery
RET0000282,ORD0008782,PRD00145,2025-04-24,3,Changed Mind
RET0000283,ORD0013621,PRD00099,2025-04-16,1,Wrong Product
RET0000284,ORD0010305,PRD00327,2026-05-02,1,Changed Mind
RET0000285,ORD0007702,PRD00080,2025-01-05,2,Changed Mind
RET0000286,ORD0017971,PRD00088,2026-04-25,1,Damaged
RET0000287,ORD0021756,PRD00824,2026-03-04,2,Late Delivery
RET0000288,ORD0015337,PRD00114,2026-05-30,3,Defective
RET0000289,ORD0033828,PRD00790,2025-01-16,2,Defective
RET0000290,ORD0042172,PRD00303,2025-07-20,3,Late Delivery
RET0000291,ORD0037858,PRD00545,2025-07-15,2,Late Delivery
RET0000292,ORD0002639,PRD00365,2026-04-10,2,Changed Mind
RET0000293,ORD0003140,PRD00030,2026-04-15,2,Defective
RET0000294,ORD0044681,PRD00826,2025-04-09,3,Late Delivery
RET0000295,ORD0041040,PRD00040,2025-04-21,2,Changed Mind
RET0000296,ORD0048386,PRD00306,2026-02-14,1,Damaged
RET0000297,ORD0043944,PRD00158,2025-08-10,2,Late Delivery
RET0000298,ORD0003303,PRD00979,2026-04-09,3,Changed Mind
RET0000299,ORD0011632,PRD00205,2025-09-24,1,Changed Mind
RET0000300,ORD0025053,PRD00281,2025-12-12,1,Wrong Product
RET0000301,ORD0036623,PRD00341,2026-08-27,1,Size/Compatibility
RET0000302,ORD0005903,PRD00403,2025-09-10,3,Late Delivery
RET0000303,ORD0011196,PRD00181,2026-06-06,3,Size/Compatibility
RET0000304,ORD0035756,PRD00472,2025-11-30,3,Wrong Product
RET0000305,ORD0013978,PRD00926,2025-10-03,3,Defective
RET0000306,ORD0037813,PRD00487,2026-02-17,3,Late Delivery
RET0000307,ORD0047261,PRD00969,2025-08-07,3,Wrong Product
RET0000308,ORD0015923,PRD00140,2026-07-21,2,Changed Mind
RET0000309,ORD0024616,PRD00063,2025-08-03,1,Damaged
RET0000310,ORD0039805,PRD00417,2025-01-21,2,Changed Mind
RET0000311,ORD0034127,PRD00827,2026-05-07,1,Changed Mind
RET0000312,ORD0019476,PRD00049,2025-11-19,2,Defective
RET0000313,ORD0005837,PRD00267,2026-07-19,3,Size/Compatibility
RET0000314,ORD0022114,PRD00326,2025-05-12,3,Late Delivery
RET0000315,ORD0037231,PRD00195,2025-02-26,1,Late Delivery
RET0000316,ORD0017236,PRD00642,2025-04-13,3,Changed Mind
RET0000317,ORD0041969,PRD00121,2026-07-03,3,Defective
RET0000318,ORD0026922,PRD00551,2025-02-11,1,Wrong Product
RET0000319,ORD0035446,PRD00442,2026-02-09,1,Wrong Product
RET0000320,ORD0013735,PRD00214,2025-03-13,3,Changed Mind
RET0000321,ORD0003150,PRD00933,2025-06-04,1,Changed Mind
RET0000322,ORD0031460,PRD00455,2025-10-15,2,Changed Mind
RET0000323,ORD0033332,PRD00711,2026-03-08,2,Late Delivery
RET0000324,ORD0025448,PRD00154,2025-01-29,1,Defective
RET0000325,ORD0033455,PRD00783,2026-07-29,3,Defective
RET0000326,ORD0027119,PRD00406,2026-08-16,1,Late Delivery
RET0000327,ORD0019449,PRD00936,2025-03-31,1,Size/Compatibility
RET0000328,ORD0024391,PRD00287,2025-08-18,1,Changed Mind
RET0000329,ORD0026376,PRD00438,2026-08-08,1,Changed Mind
RET0000330,ORD0037275,PRD00895,2025-12-29,3,Size/Compatibility
RET0000331,ORD0028918,PRD00160,2026-07-06,1,Late Delivery
RET0000332,ORD0004318,PRD00703,2025-05-30,3,Defective
RET0000333,ORD0001939,PRD00931,2026-04-08,3,Changed Mind
RET0000334,ORD0034658,PRD00034,2026-04-01,3,Late Delivery
RET0000335,ORD0000834,PRD00441,2026-06-05,1,Defective
RET0000336,ORD0044262,PRD00439,2025-02-16,2,Damaged
RET0000337,ORD0027750,PRD00207,2025-07-13,3,Changed Mind
RET0000338,ORD0020188,PRD00396,2026-06-09,1,Late Delivery
RET0000339,ORD0023055,PRD00827,2025-02-10,1,Damaged
RET0000340,ORD0042981,PRD00377,2025-07-24,1,Damaged
RET0000341,ORD0038288,PRD00345,2025-08-30,2,Damaged
RET0000342,ORD0037662,PRD00163,2026-04-11,3,Size/Compatibility
RET0000343,ORD0011198,PRD00182,2025-02-12,1,Changed Mind
RET0000344,ORD0001360,PRD00231,2025-05-10,1,Changed Mind
RET0000345,ORD0028886,PRD00663,2025-05-18,3,Defective
RET0000346,ORD0041482,PRD00540,2026-04-27,2,Wrong Product
RET0000347,ORD0047581,PRD00318,2025-03-14,1,Defective
RET0000348,ORD0015539,PRD00842,2025-07-05,3,Late Delivery
RET0000349,ORD0009625,PRD00187,2026-06-07,1,Defective
RET0000350,ORD0040955,PRD00455,2025-11-08,1,Size/Compatibility
RET0000351,ORD0019241,PRD00534,2025-10-25,3,Wrong Product
RET0000352,ORD0043494,PRD00443,2025-04-21,2,Late Delivery
RET0000353,ORD0005642,PRD00492,2025-06-11,2,Changed Mind
RET0000354,ORD0018896,PRD00993,2025-07-26,3,Size/Compatibility
RET0000355,ORD0029410,PRD00709,2025-09-06,2,Damaged
RET0000356,ORD0034799,PRD00896,2025-07-17,1,Damaged
RET0000357,ORD0035828,PRD00664,2025-02-10,2,Wrong Product
RET0000358,ORD0021236,PRD00588,2025-12-13,2,Size/Compatibility
RET0000359,ORD0049409,PRD00127,2025-11-27,3,Wrong Product
RET0000360,ORD0022874,PRD00774,2025-12-15,3,Late Delivery
RET0000361,ORD0003237,PRD00865,2025-08-19,2,Defective
RET0000362,ORD0019669,PRD00060,2025-11-19,1,Size/Compatibility
RET0000363,ORD0043853,PRD00767,2025-05-05,3,Wrong Product
RET0000364,ORD0008382,PRD00280,2025-09-09,2,Changed Mind
RET0000365,ORD0018014,PRD00203,2025-08-16,1,Wrong Product
RET0000366,ORD0038330,PRD00354,2026-08-10,1,Defective
RET0000367,ORD0034242,PRD00926,2025-12-08,2,Damaged
RET0000368,ORD0022655,PRD00891,2025-04-20,2,Late Delivery
RET0000369,ORD0000755,PRD00979,2025-11-06,3,Wrong Product
RET0000370,ORD0019001,PRD00690,2026-06-18,1,Damaged
RET0000371,ORD0046954,PRD00132,2025-06-04,3,Damaged
RET0000372,ORD0000709,PRD00086,2026-02-23,1,Wrong Product
RET0000373,ORD0025501,PRD00503,2025-01-16,1,Size/Compatibility
RET0000374,ORD0012991,PRD00659,2026-03-01,2,Changed Mind
RET0000375,ORD0033839,PRD00284,2026-07-22,1,Defective
RET0000376,ORD0017681,PRD00935,2025-04-29,3,Size/Compatibility
RET0000377,ORD0048840,PRD00502,2025-12-02,1,Size/Compatibility
RET0000378,ORD0003001,PRD00756,2026-03-16,3,Changed Mind
RET0000379,ORD0035258,PRD00887,2025-08-29,2,Damaged
RET0000380,ORD0009080,PRD00182,2026-07-27,1,Size/Compatibility
RET0000381,ORD0014438,PRD00342,2026-04-18,1,Damaged
RET0000382,ORD0022040,PRD00883,2025-08-10,3,Changed Mind
RET0000383,ORD0001901,PRD00992,2025-01-13,2,Size/Compatibility
RET0000384,ORD0037501,PRD00805,2025-01-20,3,Defective
RET0000385,ORD0023145,PRD00880,2026-06-29,1,Changed Mind
RET0000386,ORD0013860,PRD00537,2025-05-10,3,Damaged
RET0000387,ORD0025946,PRD00244,2026-03-28,1,Changed Mind
RET0000388,ORD0031838,PRD00120,2025-04-17,1,Changed Mind
RET0000389,ORD0017214,PRD00045,2026-01-29,2,Wrong Product
RET0000390,ORD0023792,PRD00098,2025-11-03,1,Damaged
RET0000391,ORD0001178,PRD00253,2026-04-10,1,Wrong Product
RET0000392,ORD0048666,PRD00328,2025-01-09,1,Damaged
RET0000393,ORD0043855,PRD00836,2025-12-06,2,Defective
RET0000394,ORD0044442,PRD00538,2025-10-02,2,Size/Compatibility
RET0000395,ORD0024922,PRD00858,2026-04-27,1,Defective
RET0000396,ORD0030296,PRD00181,2025-10-08,1,Late Delivery
RET0000397,ORD0000960,PRD00015,2025-06-26,3,Damaged
RET0000398,ORD0020271,PRD00770,2026-03-10,1,Wrong Product
RET0000399,ORD0047958,PRD00219,2025-01-26,2,Late Delivery
RET0000400,ORD0026009,PRD00631,2025-02-05,1,Size/Compatibility
RET0000401,ORD0011718,PRD00208,2026-05-10,2,Damaged
RET0000402,ORD0038129,PRD00937,2026-06-05,2,Wrong Product
