shipment_id,order_id,warehouse_id,shipment_date,delivery_date,carrier,status
SHP0000001,ORD0011299,WH004,2025-12-31,2026-01-02,BlueDart,Delivered
SHP0000002,ORD0032735,WH003,2026-02-25,2026-02-28,Delhivery,Delivered
SHP0000003,ORD0020865,WH010,2026-04-15,2026-04-16,Ecom Express,Delivered
SHP0000004,ORD0015166,WH010,2025-10-08,2025-10-13,BlueDart,Delivered
SHP0000005,ORD0046470,WH009,2026-06-02,2026-06-08,Delhivery,In Transit
SHP0000006,ORD0008246,WH002,2026-03-18,2026-03-22,Ecom Express,Delivered
SHP0000007,ORD0049063,WH001,2025-11-19,2025-11-26,BlueDart,Delivered
SHP0000008,ORD0033256,WH003,2026-01-30,2026-01-31,BlueDart,Delivered
SHP0000009,ORD0024143,WH008,2026-03-09,2026-03-11,BlueDart,Delivered
SHP0000010,ORD0037518,WH009,2026-02-14,2026-02-16,Ecom Express,Delivered
SHP0000011,ORD0027390,WH010,2026-08-08,2026-08-13,Delhivery,Delivered
SHP0000012,ORD0020046,WH005,2025-03-03,2025-03-06,BlueDart,In Transit
SHP0000013,ORD0043956,WH007,2026-06-02,2026-06-03,DTDC,In Transit
SHP0000014,ORD0027121,WH005,2026-02-08,2026-02-09,Delhivery,In Transit
SHP0000015,ORD0015195,WH009,2026-05-07,2026-05-09,Delhivery,Delivered
SHP0000016,ORD0036873,WH004,2025-01-18,2025-01-20,BlueDart,Delivered
SHP0000017,ORD0030388,WH002,2026-07-16,2026-07-20,XpressBees,Delivered
SHP0000018,ORD0049773,WH002,2025-10-18,2025-10-22,Delhivery,Delivered
SHP0000019,ORD0044870,WH009,2026-04-15,2026-04-17,DTDC,Delivered
SHP0000020,ORD0009188,WH006,2026-01-04,2026-01-09,DTDC,Delivered
SHP0000021,ORD0021242,WH007,2025-09-08,2025-09-14,Ecom Express,In Transit
SHP0000022,ORD0029848,WH008,2025-02-19,2025-02-22,Ecom Express,Delivered
SHP0000023,ORD0011750,WH004,2025-04-19,2025-04-22,DTDC,Delivered
SHP0000024,ORD0014122,WH010,2025-07-10,2025-07-15,Ecom Express,Delivered
SHP0000025,ORD0030995,WH010,2025-08-02,2025-08-09,BlueDart,In Transit
SHP0000026,ORD0002143,WH001,2026-06-09,2026-06-14,XpressBees,Delivered
SHP0000027,ORD0010095,WH010,2025-03-11,2025-03-14,Ecom Express,In Transit
SHP0000028,ORD0015489,WH008,2025-12-08,2025-12-14,DTDC,Delivered
SHP0000029,ORD0002568,WH009,2026-07-16,2026-07-22,BlueDart,Delivered
SHP0000030,ORD0032543,WH006,2026-06-16,2026-06-19,XpressBees,In Transit
SHP0000031,ORD0017016,WH003,2025-03-28,2025-04-02,DTDC,Delivered
SHP0000032,ORD0038179,WH005,2025-05-10,2025-05-17,BlueDart,Delivered
SHP0000033,ORD0026745,WH004,2026-01-28,2026-02-03,XpressBees,Delivered
SHP0000034,ORD0047447,WH009,2026-05-07,2026-05-15,BlueDart,Delivered
SHP0000035,ORD0005597,WH009,2025-09-24,2025-10-02,XpressBees,Delivered
SHP0000036,ORD0021433,WH005,2025-02-09,2025-02-11,BlueDart,Delivered
SHP0000037,ORD0028400,WH007,2025-10-07,2025-10-15,DTDC,Delivered
SHP0000038,ORD0001048,WH005,2025-05-27,2025-06-01,XpressBees,Delivered
SHP0000039,ORD0008866,WH001,2026-08-13,2026-08-15,Ecom Express,In Transit
SHP0000040,ORD0045515,WH004,2025-07-28,2025-08-03,Delhivery,In Transit
SHP0000041,ORD0011987,WH002,2026-03-26,2026-03-29,Ecom Express,Delivered
SHP0000042,ORD0008968,WH008,2025-05-12,2025-05-15,XpressBees,Delivered
SHP0000043,ORD0031148,WH002,2025-05-14,2025-05-15,Ecom Express,Delivered
SHP0000044,ORD0004556,WH010,2025-08-09,2025-08-14,BlueDart,Delayed
SHP0000045,ORD0004646,WH005,2026-02-17,2026-02-20,XpressBees,Delivered
SHP0000046,ORD0035243,WH001,2025-01-19,2025-01-21,Ecom Express,Delivered
SHP0000047,ORD0010911,WH005,2025-04-18,2025-04-23,XpressBees,Delivered
SHP0000048,ORD0024703,WH007,2026-05-31,2026-06-08,Ecom Express,Delivered
SHP0000049,ORD0038286,WH004,2025-05-18,2025-05-25,XpressBees,Delivered
SHP0000050,ORD0032661,WH006,2025-11-11,2025-11-13,XpressBees,Delivered
SHP0000051,ORD0001712,WH006,2025-07-08,2025-07-15,BlueDart,Delivered
SHP0000052,ORD0018489,WH009,2026-05-19,2026-05-26,Delhivery,Delayed
SHP0000053,ORD0020631,WH007,2025-10-04,2025-10-12,Delhivery,Delivered
SHP0000054,ORD0019470,WH008,2026-06-12,2026-06-15,DTDC,In Transit
SHP0000055,ORD0021360,WH001,2025-12-16,2025-12-17,XpressBees,Delivered
SHP0000056,ORD0041647,WH002,2025-03-28,2025-03-29,Delhivery,Delivered
SHP0000057,ORD0005593,WH008,2026-03-21,2026-03-23,XpressBees,Delivered
SHP0000058,ORD0022889,WH002,2026-04-01,2026-04-04,DTDC,Delivered
SHP0000059,ORD0009584,WH004,2025-05-12,2025-05-14,Ecom Express,Delivered
SHP0000060,ORD0009726,WH005,2025-03-16,2025-03-21,BlueDart,Delivered
SHP0000061,ORD0030563,WH007,2025-09-15,2025-09-23,XpressBees,In Transit
SHP0000062,ORD0019839,WH008,2026-04-26,2026-04-27,BlueDart,In Transit
SHP0000063,ORD0023068,WH007,2025-12-18,2025-12-21,DTDC,Delivered
SHP0000064,ORD0028995,WH004,2025-11-06,2025-11-11,Delhivery,Delivered
SHP0000065,ORD0032333,WH008,2025-04-21,2025-04-23,Delhivery,Delivered
SHP0000066,ORD0025055,WH003,2025-07-12,2025-07-16,XpressBees,Delivered
SHP0000067,ORD0022598,WH001,2026-08-25,2026-08-29,XpressBees,Delivered
SHP0000068,ORD0040893,WH002,2025-12-26,2025-12-29,BlueDart,Delivered
SHP0000069,ORD0042870,WH010,2026-04-26,2026-04-30,BlueDart,Delivered
SHP0000070,ORD0041730,WH009,2026-03-07,2026-03-13,Ecom Express,In Transit
SHP0000071,ORD0010265,WH008,2026-07-03,2026-07-06,XpressBees,Delivered
SHP0000072,ORD0030010,WH009,2026-04-20,2026-04-22,DTDC,Delivered
SHP0000073,ORD0018620,WH003,2025-07-03,2025-07-04,Delhivery,Delivered
SHP0000074,ORD0011863,WH009,2025-11-24,2025-12-02,Ecom Express,Delivered
SHP0000075,ORD0005737,WH001,2026-01-17,2026-01-19,Ecom Express,Delivered
SHP0000076,ORD0008774,WH005,2026-01-07,2026-01-14,XpressBees,Delivered
SHP0000077,ORD0043265,WH009,2025-01-25,2025-01-29,Delhivery,Delivered
SHP0000078,ORD0006781,WH009,2025-06-30,2025-07-03,BlueDart,Delivered
SHP0000079,ORD0038002,WH010,2025-10-29,2025-11-06,BlueDart,Delivered
